id,xf,yf,amplitude,peaks
3126.0,0.0,(254008-0j),49.746964355660005,0
3126.0,0.00019584802193497845,(2148.142982716865-57585.798153435986j),22.57181773820192,8
3126.0,0.0003916960438699569,(3082.6151498696745-34082.692389149015j),13.404548489447183,13
3126.0,0.0005875440658049354,(8470.484412693695-23218.24170443214j),9.680804405810644,18
3126.0,0.0007833920877399138,(262.3800914099377-20575.37247190386j),8.059947261306547,24
3126.0,0.0009792401096748921,(-4048.4763832520957-20571.973091468324j),8.212514866074068,29
3126.0,0.0011750881316098707,(4392.173667747085-10510.34120128609j),4.461871198993249,34
3126.0,0.0013709361535448493,(-389.66887491357704-18191.24240299232j),7.12707223324908,39
3126.0,0.0015667841754798276,(6783.22799025014-14912.644932820647j),6.417114109983887,45
3126.0,0.001762632197414806,(1231.4460574333925-19513.621870823266j),7.6586132753677605,50
3126.0,0.0019584802193497843,(-5987.984331010219-11746.822277542546j),5.164505876529766,56
3126.0,0.002154328241284763,(-8474.378128809403-11919.484321567132j),5.728535440587408,61
3126.0,0.0023501762632197414,(-14565.450882063065-14506.46984916773j),8.052093457705974,67
3126.0,0.0025460242851547197,(-1474.5650945634143-7758.015507906646j),3.0931873961878806,73
3126.0,0.0027418723070896985,(-13469.32337073712-3411.8596262929946j),5.4425098752206695,78
3126.0,0.002937720329024677,(-3550.694936653565-9321.094062234139j),3.906963919368223,83
3126.0,0.003133568350959655,(-4669.527164361283-2128.8371560323135j),2.010146223760966,88
3126.0,0.0033294163728946335,(-5392.417178996204-6101.108821049371j),3.1894183649613814,94
3136.0,0.0,(102944-0j),273.0610079575597,0
3136.0,0.002652519893899204,(-6501.15584158348+1842.9473424047933j),35.847894089133774,11
3136.0,0.005305039787798408,(-733.9293954799746+4954.139246963143j),26.56874305755806,18
3136.0,0.007957559681697613,(1470.0820252250044+2872.897306277341j),17.120309541342607,23
3136.0,0.010610079575596816,(1105.7926724979006-364.7099382112432j),6.177104983961134,29
3136.0,0.01326259946949602,(899.9761820361612-2386.6257456019166j),13.53142884804779,35
3136.0,0.015915119363395226,(-1736.3842985981444+818.9098412359901j),10.184631578391658,42
3136.0,0.01856763925729443,(-1247.5895299353763+1109.1325020644501j),8.85584918785334,48
3136.0,0.021220159151193633,(548.7424997557688+988.4584683796595j),5.997671791459768,56
3136.0,0.023872679045092837,(1193.3632709892715-779.1246378763394j),7.560660921999111,63
3136.0,0.02652519893899204,(353.410423052469-907.3892041095156j),5.16595964013331,71
3136.0,0.029177718832891244,(-1058.9685126165905-351.3133328744906j),5.918949096412363,76
3136.0,0.03183023872679045,(-732.6265986530816+634.8727018464631j),5.142893603545728,82
3136.0,0.034482758620689655,(357.4497711107728+613.7968399044998j),3.7681354405936758,90
3136.0,0.03713527851458886,(686.5614552354893-337.60232255622657j),4.058760958260991,99
3136.0,0.03978779840848806,(421.04905902867347-136.2160638003599j),2.347665182628827,111
3136.0,0.042440318302387266,(-474.5652958570766+407.24953346208963j),3.317514181596677,118
3136.0,0.04509283819628647,(254.30682725970433+563.6542127456069j),3.2804627706266984,126
3137.0,0.0,(141031-0j),264.5984990619137,0
3137.0,0.001876172607879925,(-3561.7405239770783-2288.4344289919927j),15.88573315256757,10
3137.0,0.00375234521575985,(-6316.686657257711+4310.158205017902j),28.694523688441773,16
3137.0,0.005628517823639775,(-5059.972649650901+5285.8573330416075j),27.457223248639632,25
3137.0,0.0075046904315197,(2204.03548239401+3132.0017465403007j),14.37065298602985,33
3137.0,0.009380863039399626,(5028.019336657492+1216.302882237931j),19.41104216231543,40
3137.0,0.01125703564727955,(-976.3168160007438-2718.7195374816656j),10.839427395936186,47
3137.0,0.013133208255159474,(-28.73585208214729-1798.3640275928863j),6.748944076468469,52
3137.0,0.0150093808630394,(-2981.689271185817+1496.500008276249j),12.518435059527357,59
3137.0,0.016885553470919325,(-2562.9831976316627+450.0916031232018j),9.76436748824652,65
3137.0,0.01876172607879925,(-496.01848012180494+1661.0798689765877j),6.504905171803779,72
3137.0,0.020637898686679174,(-613.5055231274653+2246.9093763068304j),8.739815980685414,77
3137.0,0.0225140712945591,(1315.1506010935113+1223.8805348490355j),6.741184695149264,85
3137.0,0.024390243902439025,(-1235.844394040778-788.219535691612j),5.500228272288644,95
3137.0,0.026266416510318948,(-409.8514790461477-1358.8621799958023j),5.325798964202661,101
3137.0,0.028142589118198873,(-1337.9102633908963+663.0519905704982j),5.602996316364018,112
3137.0,0.0300187617260788,(-645.8154244524949+1017.1826448958086j),4.521129255625455,121
3137.0,0.03189493433395872,(-673.7578230106734-345.66161853273263j),2.8414733153940634,126
3140.0,0.0,(254008-0j),262.13415892672856,0
3140.0,0.0010319917440660474,(-1061.6722277582412+6890.284423518384j),14.38926148259794,8
3140.0,0.0020639834881320948,(-16337.477133993427+3515.3910397438426j),34.492068688631434,13
3140.0,0.003095975232198142,(-12193.08417326241-407.1021090208405j),25.18034764322294,20
3140.0,0.0041279669762641896,(-12728.015582224885-11227.929727994986j),35.03114401081841,25
3140.0,0.005159958720330237,(-8652.524613881815+4145.559364069143j),19.802611464191394,32
3140.0,0.006191950464396284,(-9405.132870422998+5162.224364674176j),22.14386744160771,41
3140.0,0.007223942208462331,(791.9521953833753-6120.107293044425j),12.737119801522796,49
3140.0,0.008255933952528379,(6356.3007729569745-3616.4357233684677j),15.09408028633878,56
3140.0,0.009287925696594427,(5977.904831493568+1604.502376881881j),12.775003091088747,63
3140.0,0.010319917440660475,(3472.2814655606553-3001.9080433863955j),9.473704552888307,68
